node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_blocks_per_node,avg_inter_block_time,avg_messages_per_block
12,100.0,"{""n_nodes"": 12, ""sim_duration"": 100.0, ""mine"": 0.25}",1200,107,1064,0,0.00,0.00,0.45,1109.73
25,100.0,"{""n_nodes"": 25, ""sim_duration"": 100.0, ""mine"": 0.25}",2466,215,2087,1,1.00,0.00,0.48,1138.22
50,100.0,"{""n_nodes"": 50, ""sim_duration"": 100.0, ""mine"": 0.25}",4330,379,3826,0,0.00,0.00,0.61,1312.98
100,100.0,"{""n_nodes"": 100, ""sim_duration"": 100.0, ""mine"": 0.25}",7199,673,6012,0,0.00,0.00,1.26,1474.07
200,100.0,"{""n_nodes"": 200, ""sim_duration"": 100.0, ""mine"": 0.25}",10874,990,8948,2,1.00,0.00,5.90,2001.64
400,100.0,"{""n_nodes"": 400, ""sim_duration"": 100.0, ""mine"": 0.25}",15097,1226,11031,7,1.14,0.00,26.75,3211.17
800,25.0,"{""n_nodes"": 800, ""sim_duration"": 25.0, ""mine"": 0.25}",9889,354,2183,18,1.56,0.00,10.97,5472.85
1600,10.0,"{""n_nodes"": 1600, ""sim_duration"": 10.0, ""mine"": 0.25}",10671,156,542,44,2.05,0.00,13.18,9529.69


