node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot
100,50.0,"{'mine': 1}",4992,200,400,2.00,5.52,1607481.00
100,50.0,"{'mine': 2}",9805,200,400,2.00,6.63,1487780.00
100,50.0,"{'mine': 4}",19841,200,400,2.00,4.77,1543059.00
100,50.0,"{'mine': 8}",39786,200,400,2.00,5.73,1616296.00
100,50.0,"{'mine': 16}",80204,200,400,2.00,9.00,1557892.00
100,50.0,"{'mine': 32}",159543,200,400,2.00,7.20,1538170.50
100,50.0,"{'mine': 64}",319853,200,400,2.00,5.17,1472784.00



